,8-1,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-17
Indiv Day-to-Day B Mid,,,775210.5333333333,747507.1666666666,736752.5,698694.9333333333,680868.5,683609.2333333333,676167.3,674242.4666666667,654853.9666666667,678374.7,680597.9333333333,663583.8666666667,653960.4333333333,646466.5666666667,639608.8666666667
Indiv Day-to-Day B Floor,,,604345.9333333333,596133.1,616920.6,555468.9666666667,561711.5333333333,550591.0,558943.8666666667,523301.4,512764.23333333334,561741.1666666666,557669.9333333333,544776.4666666667,506817.1,471966.76666666666,486588.4666666667
Indiv All-Time Avg SS Mid,,,16409593.6,16222527.516666668,16172973.422222223,15941670.55,15894126.786666667,15879897.4,15794294.861904763,15791421.995833334,15716102.633333333,15612436.71,15604490.863636365,15576678.458333334,15592265.446153846,15553083.202380953,15566782.731111111
Indiv All-Time Avg SS Floor,,,14992568.133333333,14936796.783333333,15019136.577777777,14945107.641666668,14927594.206666667,15023982.955555556,15038331.271428572,14993916.129166666,14904078.24074074,14726919.413333332,14620375.251515152,14649846.622222222,14566560.125641026,14496143.952380953,14436442.633333333
Indiv All-Time Avg S+ Mid,,,13171043.2,12912372.083333334,12957572.61111111,12958902.841666667,13037460.08,12951669.794444444,12971126.252380954,12938244.6625,12940537.67037037,12884712.806666667,12812973.148484848,12793104.194444444,12740362.58205128,12706310.85,12659856.662222223
Indiv All-Time Avg S+ Floor,,,12311594.566666666,12426552.416666666,12412198.333333334,12423858.983333332,12309567.266666668,12246068.094444444,12188419.109523809,12183259.095833333,12198348.37037037,12132067.863333333,12037816.669696968,12006602.572222224,12007009.535897436,11982960.407142857,11917164.237777777
Indiv All-Time Avg S Mid,,,9915886.133333333,9830045.75,9801585.3,9768410.291666666,9770768.313333333,9683538.383333333,9664102.452380953,9691924.6375,9705766.38888889,9684829.563333333,9646605.263636364,9610705.247222222,9591719.805128206,9567937.545238096,9553468.024444444
Indiv All-Time Avg S Floor,,,9094044.866666667,8957768.233333332,8967584.4,9002610.616666667,8975648.326666666,8882159.05,8860780.576190477,8909026.908333333,8913989.907407407,8913841.95,8917772.381818183,8907262.305555556,8948753.925641026,8948094.221428571,8959815.466666667
Indiv All-Time Avg A+ Mid,,,5362638.4,5379383.85,5346005.1,5290971.433333334,5233293.793333334,5189441.116666666,5171435.376190477,5182694.358333333,5190059.381481482,5178684.236666666,5154575.154545454,5127633.983333333,5102430.584615384,5083535.483333333,5072324.255555555
Indiv All-Time Avg A+ Floor,,,4280861.366666666,4283358.566666666,4342760.477777777,4364776.183333334,4350861.24,4335205.833333333,4359890.1095238095,4401943.579166667,4408659.5407407405,4414000.966666667,4404343.351515152,4393252.216666667,4374956.617948717,4367071.128571428,4379572.555555556
Indiv All-Time Avg A Mid,,,3385630.066666667,3400031.2333333334,3397385.2666666666,3373210.8,3332247.36,3291154.6777777774,3279165.523809524,3282593.875,3290176.566666667,3292773.49,3277244.9363636365,3261316.5305555556,3246244.4,3234523.5904761907,3225571.5711111114
Indiv All-Time Avg A Floor,,,2655032.2333333334,2641206.8833333333,2639423.988888889,2623040.3666666667,2630773.053333333,2617793.105555556,2620363.052380952,2629676.7125,2642914.348148148,2644841.5866666664,2640731.221212121,2631462.8333333335,2620721.8230769234,2610947.1714285715,2610375.962222222
Indiv All-Time Avg B+ Mid,,,1303819.3,1292036.7833333334,1285633.3,1270439.475,1253081.9133333333,1242786.1833333333,1235918.8714285714,1234072.725,1228996.3037037037,1227404.2433333332,1224519.615151515,1219333.397222222,1213499.2871794873,1208731.5380952382,1204810.468888889
Indiv All-Time Avg B+ Floor,,,987811.9,963792.65,951335.3111111111,926990.2,913464.6666666666,905122.7166666667,897553.4952380953,892091.3666666667,889425.0037037038,887159.2166666667,882842.4393939395,877971.7694444444,874916.6794871795,866965.1142857143,863588.0177777779
Indiv All-Time Avg B Mid,,,775210.5333333333,761358.85,753156.7333333333,739541.2833333333,727806.7266666667,720440.4777777777,714115.7380952381,709131.5791666667,703100.7333333333,700628.13,698807.203030303,695871.925,692647.9641025641,689349.2928571429,686033.2644444444
Indiv All-Time Avg B Floor,,,604345.9333333333,600239.5166666667,605799.8777777777,593217.15,586916.0266666667,580861.8555555556,577730.7142857143,570927.05,564464.5148148148,564192.1799999999,563599.2484848484,562030.6833333333,557783.4846153846,551653.719047619,547316.0355555556
Indiv 3-Day Avg SS Mid,,,16409593.6,16222527.516666668,16172973.422222223,15785696.2,15675192.966666667,15586821.377777778,15597793.944444444,15620247.344444444,15388513.1,15188101.022222223,15106007.844444444,15158405.933333334,15525027.9,15364588.444444444,15527199.822222224
Indiv 3-Day Avg SS Floor,,,14992568.133333333,14936796.783333333,15019136.577777777,14929287.477777777,14921459.155555556,15028829.333333334,15162629.444444444,15104452.666666666,14664268.811111111,14000291.744444443,13624266.244444443,13887151.766666668,14032029.166666666,14040629.188888889,13582826.677777776
Indiv 3-Day Avg S+ Mid,,,13171043.2,12912372.083333334,12957572.61111111,12888189.38888889,13120852.077777777,12945766.977777777,12987424.133333333,12772885.633333333,12918273.422222223,12683081.433333334,12478915.777777778,12350803.766666668,12259195.166666666,12315215.755555557,12126866.533333333
Indiv 3-Day Avg S+ Floor,,,12311594.566666666,12426552.416666666,12412198.333333334,12461280.455555556,12231577.166666666,12079937.855555557,11874499.277777778,11972745.477777777,12102908.922222223,12000581.622222222,11649970.2,11431365.177777776,11590148.444444444,11781820.777777778,11559410.9
Indiv 3-Day Avg S Mid,,,9915886.133333333,9830045.75,9801585.3,9719251.677777776,9731250.022222223,9565491.466666667,9525025.333333334,9560518.51111111,9750222.4,9733192.822222224,9525753.6,9325521.822222224,9281353.944444444,9279489.244444443,9324519.133333333
Indiv 3-Day Avg S Floor,,,9094044.866666667,8957768.233333332,8967584.4,8972132.533333333,8987568.38888889,8796733.7,8671673.855555555,8797991.211111112,8977651.622222222,9037651.822222224,8941093.644444445,8887079.5,9065127.177777776,9059274.3,9170028.11111111
Indiv 3-Day Avg A+ Mid,,,5362638.4,5379383.85,5346005.1,5267082.444444445,5135900.422222222,5032877.133333334,5012053.966666667,5098361.966666667,5191295.911111112,5195598.244444445,5079590.611111111,4940357.788888888,4848251.744444445,4823056.688888889,4851085.344444444
Indiv 3-Day Avg A+ Floor,,,4280861.366666666,4283358.566666666,4342760.477777777,4392747.788888889,4395863.022222223,4327651.188888889,4353375.344444444,4487080.811111111,4555566.955555555,4540259.633333334,4410742.744444444,4347030.244444444,4244808.788888889,4230406.311111111,4324853.911111111
Indiv 3-Day Avg A Mid,,,3385630.066666667,3400031.2333333334,3397385.2666666666,3369071.044444444,3287058.111111111,3184924.088888889,3153771.8222222226,3199838.066666667,3288220.3444444444,3324525.411111111,3262981.1,3174736.422222222,3091147.433333333,3077878.6555555556,3082591.7333333334
Indiv 3-Day Avg A Floor,,,2655032.2333333334,2641206.8833333333,2639423.988888889,2612376.411111111,2623817.1666666665,2596162.2222222225,2616793.3,2627849.4777777777,2693156.8333333335,2701958.1666666665,2670209.911111111,2597108.288888889,2540322.611111111,2501738.988888889,2526028.4777777777
Indiv 3-Day Avg B+ Mid,,,1303819.3,1292036.7833333334,1285633.3,1259312.8666666667,1227112.0,1199939.0666666667,1189891.4,1202390.7444444445,1201416.5444444446,1207536.7777777778,1199044.6555555554,1190344.677777778,1167149.4333333333,1150841.9222222222,1146718.7555555555
Indiv 3-Day Avg B+ Floor,,,987811.9,963792.65,951335.3111111111,906716.3,879912.6777777778,858910.1222222223,858304.5555555556,856469.2,858029.5777777777,862905.9,858178.6333333333,843612.0666666667,834108.2222222222,808748.2555555556,806053.011111111
Indiv 3-Day Avg B Mid,,,775210.5333333333,761358.85,753156.7333333333,727651.5333333333,705438.6444444444,687724.2222222222,680215.011111111,678006.3333333334,668421.2444444444,669157.0444444444,671275.5333333333,674185.5,666047.411111111,654670.2888888889,646678.6222222223
Indiv 3-Day Avg B Floor,,,604345.9333333333,600239.5166666667,605799.8777777777,589507.5555555556,578033.7,555923.8333333334,557082.1333333333,544278.7555555556,531669.8333333334,532602.2666666667,544058.4444444445,554729.1888888889,536421.1666666666,507853.44444444444,488457.44444444444
